Seed,TeamID
W01,1276
W02,1104
W03,1400
W04,1199
W05,1160
W06,1140
W07,1163
W08,1261
W09,1382
W10,1268
W11a,1277
W11b,1417
W12,1207
W13,1422
W14,1101
W15,1233
W16a,1291
W16b,1411
X01,1211
X02,1234
X03,1242
X04,1438
X05,1166
X06,1425
X07,1332
X08,1328
X09,1281
X10,1433
X11a,1179
X11b,1455
X12,1364
X13,1325
X14,1186
X15,1213
X16a,1111
X16b,1313
Y01,1228
Y02,1222
Y03,1452
Y04,1329
Y05,1397
Y06,1361
Y07,1155
Y08,1260
Y09,1210
Y10,1353
Y11,1393
Y12,1333
Y13,1251
Y14,1287
Y15,1156
Y16,1180
Z01,1124
Z02,1326
Z03,1116
Z04,1345
Z05,1437
Z06,1403
Z07,1196
Z08,1314
Z09,1458
Z10,1439
Z11,1429
Z12,1457
Z13,1317
Z14,1159
Z15,1331
Z16,1216
