Season,WTeamID,wins,LTeamID,losses,games,PointsFor,PointsAgainst,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGprct
2003,1102.0,12.0,1102.0,16.0,28.0,1603,1596,536,1114,219,583,312,479,117,471,364,320,167,50,525,0.48114901256732495
2003,1103.0,13.0,1103.0,14.0,27.0,2127,2110,733,1508,147,434,514,698,264,538,411,341,196,63,536,0.4860742705570292
2003,1104.0,17.0,1104.0,11.0,28.0,1940,1820,673,1601,178,556,416,586,380,670,339,372,185,106,505,0.4203622735790131
2003,1105.0,7.0,1105.0,19.0,26.0,1866,1993,634,1602,197,540,401,568,351,601,378,485,242,54,526,0.39575530586766544
2003,1106.0,13.0,1106.0,15.0,28.0,1781,1785,656,1548,171,494,298,461,344,668,327,477,234,88,509,0.42377260981912146
2003,1107.0,7.0,1107.0,21.0,28.0,1846,2120,673,1609,222,621,278,379,231,567,334,352,192,57,445,0.418272218769422
2003,1108.0,14.0,1108.0,19.0,33.0,2280,2413,823,1938,172,539,462,691,433,766,457,609,270,116,649,0.4246646026831785
2003,1110.0,16.0,1110.0,14.0,30.0,1991,1857,695,1606,263,694,338,496,300,694,427,395,192,52,544,0.4327521793275218
2003,1111.0,16.0,1111.0,10.0,26.0,2165,2125,744,1677,187,571,490,681,338,658,396,421,256,120,486,0.44364937388193204
2003,1112.0,25.0,1112.0,3.0,28.0,2386,1967,849,1840,197,562,491,700,425,774,494,414,237,118,497,0.46141304347826084
2003,1113.0,18.0,1113.0,11.0,29.0,2203,2006,789,1650,116,365,509,760,397,676,451,406,151,123,563,0.4781818181818182
2003,1114.0,16.0,1114.0,12.0,28.0,1961,1962,668,1490,190,512,435,628,295,640,322,447,185,66,574,0.4483221476510067
2003,1115.0,4.0,1115.0,24.0,28.0,1526,2077,539,1520,133,472,315,493,279,589,285,535,223,77,567,0.35460526315789476
2003,1116.0,9.0,1116.0,19.0,28.0,1726,1863,611,1556,170,548,334,548,407,656,275,467,181,99,586,0.39267352185089976
2003,1117.0,11.0,1117.0,15.0,26.0,1849,1815,616,1422,206,555,411,557,285,530,310,345,186,43,557,0.43319268635724334
2003,1119.0,3.0,1119.0,22.0,25.0,1342,1687,490,1190,147,413,215,318,198,539,293,434,139,40,483,0.4117647058823529
2003,1120.0,19.0,1120.0,11.0,30.0,2103,1967,771,1641,169,490,392,592,358,677,402,477,241,149,491,0.46983546617915906
2003,1122.0,20.0,1122.0,7.0,27.0,1882,1828,636,1406,162,464,448,648,287,654,362,411,190,126,504,0.4523470839260313
2003,1123.0,13.0,1123.0,17.0,30.0,2199,2281,778,1814,161,500,482,664,395,652,315,385,156,66,686,0.4288864388092613
2003,1124.0,14.0,1124.0,14.0,28.0,1932,1915,661,1624,254,743,356,491,328,649,398,372,233,83,441,0.40701970443349755
2003,1125.0,16.0,1125.0,12.0,28.0,2029,1980,714,1533,229,623,372,530,295,662,473,474,254,48,514,0.4657534246575342
2003,1126.0,8.0,1126.0,22.0,30.0,1941,2187,693,1677,171,478,384,554,369,613,329,476,248,54,583,0.41323792486583183
2003,1127.0,14.0,1127.0,13.0,27.0,1797,1787,649,1544,207,592,292,432,316,654,343,407,174,175,493,0.42033678756476683
2003,1128.0,17.0,1128.0,9.0,26.0,1764,1682,573,1294,200,563,418,578,277,558,348,407,205,103,470,0.4428129829984544
2003,1129.0,12.0,1129.0,16.0,28.0,1845,1874,646,1573,145,487,408,585,313,614,326,403,186,107,546,0.410680228862047
2003,1130.0,18.0,1130.0,11.0,29.0,2310,2214,811,1730,174,505,514,744,400,640,493,387,203,84,550,0.4687861271676301
2003,1131.0,20.0,1131.0,10.0,30.0,2043,1898,709,1647,197,580,428,576,330,732,407,401,171,104,605,0.4304796599878567
2003,1132.0,11.0,1132.0,16.0,27.0,1795,1907,573,1306,169,462,480,651,234,597,344,450,193,68,599,0.4387442572741195
2003,1133.0,11.0,1133.0,18.0,29.0,2097,2099,717,1643,185,515,478,679,319,674,364,411,216,49,590,0.43639683505782106
2003,1135.0,17.0,1135.0,11.0,28.0,2071,2018,683,1480,184,497,521,700,267,654,408,439,214,103,493,0.4614864864864865
2003,1137.0,13.0,1137.0,15.0,28.0,1615,1661,532,1316,163,482,388,609,272,617,327,443,162,60,498,0.40425531914893614
